distance_to_airport,full_address,latitude,location,longitude,nearest_airport,nearest_airport_latitude,nearest_airport_longitude,airport_latitude,airport_longitude,airport_name
33.97719955444336,"Acadieville, Acadieville Parish, Kent County, New Brunswick / Nouveau-Brunswick, Canada",46.7291233,Acadieville,-65.2658818,YCH,47.007801,-65.449203,47.007801,-65.449203,Miramichi Airport
12.695927619934082,"Albanel, Maria-Chapdelaine, Saguenay–Lac-Saint-Jean, Québec, G8M 3J0, Canada",48.883683,Albanel,-72.442474,YDO,48.778499603271,-72.375,48.778499603271,-72.375,Dolbeau St Felicien Airport
19.664094924926758,"Rural Municipality of Gimli, Division No. 18, Manitoba, Canada",50.802314,Arnes,-96.9953026,YGM,50.628101348877,-97.0432968139648,50.62810134887695,-97.04329681396484,Gimli Industrial Park Airport
35.02895736694336,"Arthurette, Gordon Parish, Victoria County, New Brunswick / Nouveau-Brunswick, E7H 4H7, Canada",46.7908583,Arthurette,-67.48857,CAR,46.950401,-67.885902,46.950401,-67.885902,Loring International Airport
56.548377990722656,"Atwood, North Perth, Perth County, Ontario, N0G 1B0, Canada",43.6669112,Atwood,-81.0202088,YKF,43.4608001709,-80.3786010742,43.460800170899994,-80.3786010742,Waterloo Airport
68.68189239501953,"Barr’d Harbour, Newfoundland, Newfoundland and Labrador, Canada",50.833333,Barr'd Harbour,-57.033333,YBX,51.4435997009,-57.1852989197,51.443599700899995,-57.185298919699996,Lourdes de Blanc Sablon Airport
58.35212707519531,"Barriere, British Columbia, V0E 1E0, Canada",51.1891346,Barrière,-120.133452,YKA,50.7022018433,-120.444000244,50.7022018433,-120.444000244,Kamloops Airport
37.2620735168457,"Beaverdell, Area E (Beaverdell/West Boundary), Regional District of Kootenay Boundary, British Columbia, Canada",49.4343519,Beaverdell,-119.0884516,YYF,49.4631004333496,-119.601997375488,49.46310043334961,-119.60199737548828,Penticton Airport
29.45220947265625,"Belle Plaine, Division No. 6, Saskatchewan, S0G 0G0, Canada",50.3942989,Belle Plaine,-105.1560989,YMJ,50.3302993774414,-105.55899810791,50.330299377441406,-105.55899810791016,Moose Jaw Air Vice Marshal C. M. McEwen Airport
13.728549003601074,"Bienfait, Division No. 1, Saskatchewan, S0C 0M0, Canada",49.1430593,Bienfait,-102.8076095,YEN,49.2103004456,-102.966003418,49.2103004456,-102.966003418,Estevan Airport
54.53958511352539,"Bluffton, Division No. 8, Alberta, Canada",52.7497903,Bluffton,-114.2922547,YRM,52.4296989441,-114.903999329,52.4296989441,-114.903999329,Rocky Mountain House Airport
36.221641540527344,"Boisdale, Cape Breton Regional Municipality, Cape Breton County, Nova Scotia, Canada",46.0961172,Boisdale,-60.5082915,YQY,46.1614,-60.047798,46.1614,-60.047798,Sydney / J.A. Douglas McCurdy Airport
36.35391616821289,"Bonsecours, Le Val-Saint-François, Estrie, Québec, J0E 1H0, Canada",45.404959,Bonsecours,-72.305489,ZBM,45.2907981873,-72.7414016724,45.2907981873,-72.74140167239999,Bromont (Roland Desourdy) Airport
42.04104995727539,"Bragg Creek, Rocky View County, Alberta, Canada",50.9514689,Bragg Creek,-114.562894,YYC,51.113899231,-114.019996643,51.113899231,-114.019996643,Calgary International Airport
19.670455932617188,"Buckley Bay, Area A (Baynes Sound), Comox Valley Regional District, British Columbia, V0R 1W0, Canada",49.5247834,Buckley Bay,-124.8493853,YQQ,49.679401397705,-124.9820022583,49.679401397705,-124.9820022583,Courtenay Airpark
8.455056190490723,"Cap-aux-Meules, Les Îles-de-la-Madeleine, Communauté maritime des Îles-de-la-Madeleine, Gaspésie–Îles-de-la-Madeleine, Québec, G4T 1C9, Canada",47.377501,Cap-aux-Meules,-61.8661738,YGR,47.4247016906738,-61.7780990600586,47.42470169067383,-61.778099060058594,Îles-de-la-Madeleine Airport
17.076839447021484,"Cape Charles, Labrador, Newfoundland and Labrador, Canada",52.2175485,Cape Charles,-55.6384975,YMH,52.3027992248535,-55.8471984863281,52.302799224853516,-55.847198486328125,Mary's Harbour Airport
48.063926696777344,"Carman, Division No. 3, Manitoba, R0G 0J0, Canada",49.5082995,Carman,-98.0016853,YPG,49.903099,-98.273817,49.903099,-98.273817,Southport Airport
25.656871795654297,"Cayuga, Haldimand County, Ontario, N0A 1E0, Canada",42.9497266,Cayuga,-79.8585358,YHM,43.1735992432,-79.9349975586,43.173599243199995,-79.93499755859999,John C. Munro Hamilton International Airport
33.00996017456055,"Cranford Head, Labrador, Newfoundland and Labrador, Canada",54.2209009,Cranford,-57.9549086,YRG,54.1796989440918,-58.4575004577637,54.1796989440918,-58.45750045776367,Rigolet Airport
105.30316162109375,"Deep Bay, Unorganized Division No. 18, Division No. 18, Saskatchewan, Canada",56.4077709,Deep Bay,-102.9878157,YYL,56.2486000061,-101.304000854,56.2486000061,-101.304000854,Laurie River Airport
60.76713562011719,"Didsbury, Alberta, Canada",51.656763,Didsbury,-114.137568183229,YQF,52.1822013854981,-113.893997192383,52.18220138549805,-113.89399719238281,Red Deer Regional Airport
57.905452728271484,"Disraeli (ville), Les Appalaches, Chaudière-Appalaches, Québec, G0N 1E0, Canada",45.9049116,Disraeli,-71.3596454,YSC,45.4385986328125,-71.6913986206055,45.4385986328125,-71.69139862060547,Sherbrooke Airport
29.076631546020508,"Durham Bridge, Saint Marys Parish, York County / Comté d'York, New Brunswick / Nouveau-Brunswick, E6C 1K8, Canada",46.1255818,Durham Bridge,-66.6090704,YFC,45.8689002990723,-66.5372009277344,45.868900299072266,-66.53720092773438,Fredericton Airport
48.94489288330078,"Eskasoni First Nation, Cape Breton County, Nova Scotia, Canada",45.9460215,Eskasoni,-60.600953,YQY,46.1614,-60.047798,46.1614,-60.047798,Sydney / J.A. Douglas McCurdy Airport
75.07054901123047,"Flagstaff County, Alberta, Canada",52.7117756,Flagstaff County,-111.8125764,YCT,52.0750007629,-111.444999695,52.0750007629,-111.444999695,Coronation Airport
